,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
47,1089 Queensbridge Ct,San Jose,CA,95120,37.20002,-121.84145,2500000,1981,9509,SINGLE_FAMILY,2963313,5,3,2974,0,Coldwell Banker Realty,1350000,FOR_SALE,2
48,25 Avenida Espana,San Jose,CA,95139,37.231796,-121.76378,1099000,1972,7065,SINGLE_FAMILY,1277200,3,2,1120,0,KW Santa Clara Valley Inc,598000,FOR_SALE,2
49,709 Deboer Ln,San Jose,CA,95111,37.28384,-121.81871,989000,1969,6059,SINGLE_FAMILY,1021700,4,2,1572,0,Real Estate Experts,400000,FOR_SALE,0
50,1904 Jonathan Ave,San Jose,CA,95125,37.298176,-121.88618,1999999,1948,6150,SINGLE_FAMILY,2085000,3,3,1769,0,Compass,680000,FOR_SALE,2
51,4607 Capay Dr UNIT 3,San Jose,CA,95118,37.259357,-121.889534,500000,1970,3171,CONDO,539200,2,1,903,399,Advance 1 McKeever Real Estate,69000,FOR_SALE,1
52,1338 Chertsey Ct,San Jose,CA,95131,37.386566,-121.869095,998888,1971,6141,SINGLE_FAMILY,967400,2,1,846,0,Realty One Group Infinity,178000,FOR_SALE,0
53,479 Galen Dr,San Jose,CA,95123,37.230076,-121.82215,1849000,1976,6473,SINGLE_FAMILY,1641200,5,2,2407,0,Intero Real Estate Services,307500,FOR_SALE,1
54,267 E Hedding St,San Jose,CA,95112,37.35647,-121.89752,1149000,1940,5414,SINGLE_FAMILY,1203100,3,1,1262,0,Azealty,899000,FOR_SALE,0
55,1853 Midnight Cir,San Jose,CA,95133,37.36743,-121.86653,1298000,2016,1306,TOWNHOUSE,1327900,4,4,1985,244,Re/max Accord,904000,FOR_SALE,2
56,759 Sweeny St,San Francisco,CA,94134,37.730186,-122.418465,799000,1944,1999,SINGLE_FAMILY,926400,2,1,994,0,Compass,0,FOR_SALE,2
57,1400 Mission St APT 1011,San Francisco,CA,94103,37.775284,-122.41649,389778,2015,0,CONDO,390200,2,2,974,557,Home Quest Realty,300500,FOR_SALE,0
58,2626 26th Ave,San Francisco,CA,94116,37.7384,-122.48256,998000,1914,4499,SINGLE_FAMILY,1245000,2,1,1000,0,Coldwell Banker Realty,0,FOR_SALE,0
59,52 Innes Ct APT 204,San Francisco,CA,94124,37.72757,-122.367256,297737,2017,19793,CONDO,297700,2,2,1190,701,Century 21 Realty Alliance,243000,FOR_SALE,1
60,2694 19th Ave,San Francisco,CA,94116,37.737617,-122.47496,998000,1938,2474,SINGLE_FAMILY,1290400,3,2,1670,0,"West & Praszker, REALTORS®",0,FOR_SALE,1
61,1754 20th Ave,San Francisco,CA,94122,37.75504,-122.47727,1188000,1940,2996,SINGLE_FAMILY,1045900,2,1,1150,0,Park North Real Estate,0,FOR_SALE,1
62,5150 Diamond Heights Blvd APT 303B,San Francisco,CA,94131,37.74644,-122.440414,758000,1972,7215,CONDO,743200,1,1,838,650,Intero Real Estate Services,500000,FOR_SALE,1
63,1421 22nd Ave,San Francisco,CA,94122,37.76106,-122.4805,2389000,1988,3001,SINGLE_FAMILY,2120000,4,3,2416,0,Keller Williams San Francisco,0,FOR_SALE,2
64,3000-3002 Baker St,San Francisco,CA,94123,37.79878,-122.445786,1999000,1940,1459,MULTI_FAMILY,2174400,4,2,2400,0,Proof Real Estate,1650000,FOR_SALE,3
65,70 Hartford St,San Francisco,CA,94114,37.761337,-122.43425,2295000,1901,3520,CONDO,2248700,3,2,1635,398,"Aalto, Inc",2070000,FOR_SALE,1
66,721 Ulloa St,San Francisco,CA,94127,37.740524,-122.4635,1750000,1928,3001,SINGLE_FAMILY,2098200,2,2,0,0,Compass,872000,FOR_SALE,3
67,96 Bitting Ave,San Francisco,CA,94124,37.727306,-122.39877,998000,1998,1500,SINGLE_FAMILY,1088600,3,2,1394,21,Compass,740000,FOR_SALE,1
68,1112 Cole St,San Francisco,CA,94117,37.763805,-122.44931,1595000,1908,1821,CONDO,1629600,3,1,1340,160,Coldwell Banker Realty,900000,FOR_SALE,1
69,1909-1911 Ellis St,San Francisco,CA,94115,37.78139,-122.43787,2498000,1900,3436,SINGLE_FAMILY,3209300,6,4,3436,0,Intero Real Estate Services,1950000,FOR_SALE,0
70,248 Cumberland St,San Francisco,CA,94114,37.759068,-122.429214,1325000,1900,2850,CONDO,1793200,2,2,1195,0,Compass,1740000,FOR_SALE,1
71,62 Jennings Ct,San Francisco,CA,94124,37.717014,-122.39718,798000,1995,2702,CONDO,849800,3,2,1212,80,Compass,193000,FOR_SALE,2
72,966 Blair Ct,Palo Alto,CA,94303,37.442863,-122.12753,2998000,1955,8751,SINGLE_FAMILY,3480700,3,2,1561,0,Compass,1275000,FOR_SALE,0
73,2140 High St,Palo Alto,CA,94301,37.431057,-122.143166,3000000,1938,5623,SINGLE_FAMILY,3304100,3,2,1232,0,Compass,1560000,FOR_SALE,0
74,440 Cesano Ct APT 210,Palo Alto,CA,94306,37.405403,-122.11726,1698888,1981,2178,CONDO,1891700,3,2,1850,695,Compass,1398000,FOR_SALE,1
75,765 San Antonio Rd APT 37,Palo Alto,CA,94303,37.418694,-122.10296,1299990,1976,1058,CONDO,1400500,2,2,1030,605,EastWest Realty,1160000,FOR_SALE,1
76,101 Alma St APT 102,Palo Alto,CA,94301,37.44713,-122.16833,999950,1960,1306,CONDO,999957,1,1,1032,816,Compass,0,FOR_SALE,0
77,943 Las Palmas Dr,Santa Clara,CA,95051,37.342304,-121.971756,1498000,1955,5702,SINGLE_FAMILY,1866360,3,2,1166,0,Compass,1090000,FOR_SALE,0
78,2985 Warburton Ave,Santa Clara,CA,95051,37.355152,-121.98146,1899000,1956,5789,SINGLE_FAMILY,2172700,4,4,1991,0,Keller Williams Realty - Cupertino,510000,FOR_SALE,2
